Country,Name,Breeder and Vendor,Parentage,Characteristics,Resistance,Susceptibility,Tolerant,PVP/Patent #,Market Class,Source,Direct harvest suitability,Yield,Maturity,Seed weight
USA,Tuscola (MSU Strain #8467),Michigan State University,Single plant selection of a diallel cross with 10 true-breeding strains,"medium maturity (92 days), 1a bush-determinate, strong and erect stem, and branches","anthracnose (Race 2), halo bight, Bean common mosaic virus (NY 15)","rust, bacterial wilt, curly top virus, powdery mildew, root-knot nematode/yellow bean mosaic virus, Fusarium root rot",,7900075,Navy,,,,,
USA,UC Rio Zape,"University of California, Davis, Foundation Seed Program, UC Davis","1/64 Matterhorn, 63/64 Rio Zape","late maturity, highly viny race Durango type, very high yield potential in Southwestern USA, but may have low yields in other locations due to partial photoperiod sensitivity and selection in a dry climate",Bean common mosaic virus (I),,,public release,Heirloom-like dry bean,"Journal of Plant Registrations 2021, 15(1): 37-42",,,,
USA,UC Southwest Gold,"University of California, Davis, Foundation Seed Program, UC Davis",UCD Pink 9634/Zuni Gold,"Early maturity, compact indeterminate, high yield, heat tolerant",Bean common mosaic virus (I),,,public release,Heirloom-like dry bean,"Journal of Plant Registrations 2021, 15(1): 48-52",,,,
USA,UC Southwest Red,"University of California, Davis, Foundation Seed Program, UC Davis",UCD Pink 9634/Zuni Gold,"Early maturity, compact indeterminate, high yield, heat tolerant",Bean common mosaic virus (I),,,public release,Heirloom-like dry bean,"Journal of Plant Registrations 2021, 15(1): 21-27",,,,
USA,UC Sunrise,"University of California, Davis, Foundation Seed Program, UC Davis",UCD Pink 9634/Zuni Gold,"Medium maturity, heat tolerant, vine",Bean common mosaic virus (I),,,public release,Heirloom-like dry bean,"Journal of Plant Registrations 2021, 15(1): 43-47",,,,
USA,UC Tiger's Eye,"University of California, Davis, Foundation Seed Program, UC Davis","1/16 UC Canario 707, 15/16 Tiger's Eye","Early maturity, compact indeterminate, high yield, heat tolerant",Bean common mosaic virus (I),,,Public release,Heirloom-like dry bean,"Journal of Plant Registrations 2021, 15(1): 16-20",,,,
USA,Vero (C213259),Archer-Daniels-Midland Co,Etna/H9678-41,"Mid-season maturity (90-100), days to maturity-97, days to flowering-39 (50% bloom), 1a growth habit",,,,201500286,Cranberry,,,,,
USA,Vibrant (11258),"ADM Edible Bean Specialties, Inc",SDP1533/Sinaloa,"early maturity (90 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb/adapted to direct harvest/53 days to 50% bloom",,,,201400413,Pinto,,,,,
USA,Vigilant (02084),"ProVita, Inc",98-1570-1/Navigator,"early maturity (86 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb/adapted to direct harvest",,,,201200164,Navy,,,,,
USA,Viper (09303),ProVita Inc,Merlot/ 99238,"Type 2b growth habit, days to maturity-100, medium maturity (90-100), days to flowering-53 (50% bloom)",,,,201500389,Small Red,,,,,
USA,Vision (XP B310),Asgrow Seed Co,Midnight Black Turtle/Agate,"Medium maturity (90-100), days to maturity-92, 2b growth habit- erect, indeterminate, guides medium to long, with no ability to climb, days to flowering-50 (50% bloom)","rust (Race 40, 53)",Bean common mosaic virus (NY15),air pollution,9600130,Pinto,,,,,
USA,Vista (GTS 0286),"Gen-Tec Seeds, Limited",C-20/3/GTS 0181-1/Seafarer,"late maturity (102 days), 2a erect growth habit-indeterminate, guides (runners) short or not developed, adapted to direct harvest, 43 days to 50% bloom","Bean common mosaic virus (1, 15)/anthracnose (Alpha, Beta, Gamma, Delta)","common bacterial blight, Bean common mosaic necrosis",,9200046,Navy,,,,,
USA,Voyager (RNK303),"Novartis Seeds, Inc",Aurora/782253,"Medium maturity (90-100), days to maturity-92, 2b growth habit- bush-determinate, weak stem and branches, days to flowering-47 (50% bloom)",Bean common mosaic virus (Serotype B),anthracnose (Races Alpha & 73),anthracnose (Delta),9600020,Navy,,,,,
USA,Wallace (773-V98),Cornell University,CELRK/Red Kanner,"Early maturity (80-90), days to maturity- 89, 1a growth habit- bush-determinate, days to flowering- 38 (50% bloom",Bean common mosaic virus,"white mold, common bacterial blight","rust, heat, cold, drought",200900281,Light Red Kidney,,,,,
USA,Winchester (ROG171),Rogers Seed Co,86277/84350,"Early- mid-season maturity, days to maturity-92, 2b growth habit- erect, indeterminate, guides medium to long, with no ability to climb, days to flowering-43 (50% bloom)","rust (40, 54), anthracnose (Race Alpha), Bean common mosaic virus (Western, NL 4, NL 8, NY15, NL3)","anthracnose (Race 73), Bean common mosaic virus (NL5)",,9600338,Pinto,,,,,
USA,Windbreaker (XP 08530762),"Seminis Vegetable Seeds, Inc",Buster/Matterhorn,"Medium maturity (95 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 54 days to 50% bloom","Bean common mosaic virus, rust (Race 53)",,,200500105,Pinto,,,,,
USA,Yellowstone (Y16507),Michigan State University,PR1146-123/Y11405,"Medium maturity (94 days), 1a bush-determinate, strong and erect stem, and branches, 41 days to 50% bloom",,"anthracnose (Races 2 & 7), common bacterial blight",,,Yellow,"Journal of Plant Registrations 2021, 15(2): 265-270",,,,
USA,Zenith (B10244),Michigan State University,804644/Zorro,"medium maturity (100 days), 2a erect growth habit-indeterminate, guides (runners) short or not developed, adapted to direct harvest, 45 days to 50% bloom","anthracnose (Race 73), Bean common mosaic virus (non-necrotic strains)","rust, common bacterial blight, Bean common mosaic virus (BV1, NL4, Mexican, NY15, Florida)",,201700006,Black,"Journal of Plant Registrations 2015, 9(1): 5-20",,,,
USA,Zircon (D76063),Rogers Brothers Seed Co,Aurora/Adjutant,"medium maturity (93 days), 4a Indeterminate climbing, pods distributed throughout the plant, 47 days to first bloom",Bean common mosaic virus (BV1 & NY15),,,8200066,Small White,,,,,
USA,Zorro (B04554),Michigan State University,B00103//B00103/X00822,"medium maturity (96 days), 2a erect growth habit- indeterminate, guides (runners) short or not developed, adapted to direct harvest, 48 days to 50% bloom","anthracnose (Race 7), Bean common mosaic virus (all strains), rust (Michigan isolates)",Bean common mosaic necrosis (All strains),"common bacterial blight (Michigan Isolate), white mold (Michigan Isolate)",201000268,Black,"Journal of Plant Registrations 2009, 3(3): 226-230",,,,
Canada,OAC Thunder,University of Guelph- SeCan,Ex Rico SL 1351 / W84‑129,Yield ~3016 lbs/acre,Common Mosaic Virus R1,Anthracnose R17,,,White Navy,,2.6,3016 lbs/acre,93 days,22.7 g/100 seeds
Canada,Ex Rico 23,University of Guelph-SeCan,unknown,Yield ~2634 lbs/acre,Common Mosaic Virus R1,Anthracnose R23,,,White Navy,,,2634 lbs/acre,99 days,19.8 g/100 seeds
Canada,OAC Seaforth,University of Guelph-SeCan,Seafarer*6/PI 326418,Yield ~2027 lbs/acre,Common Mosaic Virus R1,,,,White Navy,,,2027 lbs/acre,90 days,20.1 g/100 seeds
Canada,OAC Rico,University of Guelph- SeCan,Ex-Rico 23*6/Narda,Yield ~2483 lbs/acre,Common Mosaic Virus R1,,,registered as a cultivar with License No. 2326 on May 2,White Navy,,,2483 lbs/acre,100 days,20.2 g/100 seeds
Canada,OAC Gryphon,University of Guelph,Ex Rico/5/Ex Rico 23,Yield ~3254 lbs/acre,Common Mosaic Virus R1,Anthracnose R73,,,White Navy,,4,3254 lbs/acre,96 days,20.4 g/100 seeds
Canada,OAC Silvercreek,University of Guelph,OAC Laser/Cran 74 Navigator,Yield ~3172 lbs/acre,Common Mosaic Virus R1,Anthracnose R73,,,White Navy,,3.7,3172 lbs/acre,95 days,21.4 g/100 seeds
Canada,OAC Rex,University of Guelph,HR20-738/3/ICA Pijao/PI 440795//Ex Rico 23,Yield ~3191 lbs/acre,Common Mosaic Virus R1,Anthracnose R17,,,White Navy.,,2.6,3191 lbs/acre,98 days,21.5 g/100 seeds
Canada,OAC Redstar,University of Guelph,Montcalm/AC Litekid//Cran09/Foxfire ///Chinook/AC Darkid //Generatif/OAC 90-C1,Yield ~2398 lbs/acre,Common Mosaic Virus R1,Anthracnose R23,,,Dark Red Kidney,,,2398 lbs/acre,97 days,59.2 g/100 seeds
Canada,OAC Lyrik,University of Guelph,AC Elk/AC Litekid,Yield ~2304 lbs/acre,Common Mosaic Virus R1,Anthracnose R23,,,Light Red Kidney,,,2304 lbs/acre,89 days,66.8 g/100 seeds
Canada,Lightning,University of Guelph-Hensall Co-op,Navigator/OAC Thunder//AC Compass/Silvercreek,Yield ~2845 lbs/acre,Common Mosaic Virus R1,Anthracnose R17,,,White Navy,,2.1,2845 lbs/acre,93 days,22.0 g/100 seeds
Canada,OAC Dublin,University of Guelph,OAC Rex/M97I082,Yield ~2965 lbs/acre,Common Mosaic Virus R1,Common Mosaic Virus R15,,,White Navy,,3.1,2965 lbs/acre,96 days,21.3 g/100 seeds
Canada,OAC Inferno,University of Guelph-Hensall Co-op,HR85/Montcalm//USWA-39/Litekid///Foxfire/Elk//Sacr/Calmont,Yield ~2550 lbs/acre,Common Mosaic Virus R1,Common Mosaic Virus R15,,,Light Red Kidney,,3.3,2550 lbs/acre,99 days,65.0 g/100 seeds
Canada,Dynasty,University of Guelph-Hensall Co-op,HR85/Montcalm//USWA-39/Litekid,Yield ~2399 lbs/acre,Common Mosaic Virus R1,Common Mosaic Virus R15,,,Dark Red Kidney,,2.9,2399 lbs/acre,94 days,64.6 g/100 seeds
Canada,Yeti,University of Guelph-Hensall Co-op,AC Calmont/PI 358207,Yield ~2162 lbs/acre,Common Mosaic Virus R1,Anthracnose R23,,,White Kidney,,2.7,2162 lbs/acre,95 days,58.5 g/100 seeds
Canada,Mist,University of Guelph-Hensall Co-op,spscbbr136/PI207262//ICB-10/Vax4///Speedvale/Avanti//99-1/Rex,Yield ~3163 lbs/acre,Common Mosaic Virus R1,Anthracnose R17,,,White Navy,,1.8571428571428574,3163 lbs/acre,97 days,23.2 g/100 seeds
Canada,Bolt,University of Guelph-Hensall Co-op,Rex/A98083//Compass/B98143///RESW2138/B981045//B91213/Kippen,Yield ~2777 lbs/acre,Common Mosaic Virus R1,Anthracnose R17,,,White Navy,,1.6,2777 lbs/acre,91 days,24.5 g/100 seeds
Canada,Fathom,University of Guelph-Hensall Co-op,spse087/spsbf019 (aka 11-5,Yield ~2762 lbs/acre,Common Mosaic Virus R1,,,,White Navy,,2.275,2762 lbs/acre,97 days,23.3 g/100 seeds
Canada,OAC Rosito,University of Guelph- Hensall Co-op,selected from an El Salvadoran landrace,Yield ~3327 lbs/acre,Common Mosaic Virus R1,Anthracnose R73,,,Small Red,,1.9,3327 lbs/acre,96 days,24.1 g/100 seeds
Canada,OAC Vortex,University of Guelph-Plovgh,HR199-4587/Zorro,Yield ~3669 lbs/acre,Common Mosaic Virus R1,Anthracnose R73,,,Black,,2.2,3669 lbs/acre,97 days,23.9 g/100 seeds
Canada,OAC Racer,University of Guelph-Plovgh,HR161/Etna,Yield ~2003 lbs/acre,Common Mosaic Virus R1,,,,Cranberry,,2.8,2003 lbs/acre,85 days,65.0 g/100 seeds
Canada,OAC Plasma,University of Guelph,Mist/H5211-36253,Yield ~3541 lbs/acre,Common Mosaic Virus R1,,,,White Navy,,2.4,3541 lbs/acre,94 days,22.3 g/100 seeds
Canada,OAC Jewel,University of Guelph,HR190-4849/Blush,Yield ~2162 lbs/acre,Anthracnose R73,,,,Light Red Kidney,,2.6,2162 lbs/acre,93 days,64.3 g/100 seeds
Canada,OAC Candycane,University of Guelph,HR161/Etna,Yield ~2348 lbs/acre,Common Mosaic Virus R1,,,,Cranberry,,2.2,2348 lbs/acre,90 days,67.3 g/100 seeds
Canada,Rogue,University of Guelph-Hensall Co-op,Apex/H5211-36253,Yield ~3250 lbs/acre,Common Mosaic Virus R1,,,,White Navy,,3.2,3250 lbs/acre,97 days,20.4 g/100 seeds
Canada,OAC Snowshoe,University of Guelph-Treasure Valley Seed Co.,Yeti/Dynasty,Yield ~2357 lbs/acre,Common Mosaic Virus R1,,,,White Kidney,,2.9,2357 lbs/acre,92 days,62.7 g/100 seeds
Canada,OAC Navabi,University Of Guelph- Treasure Valley Seed Co.,H5357C-42101///Capri/2793CBB//SAB68,Yield ~2226 lbs/acre,Common Mosaic Virus R1,,,,Cranberry,,2.3,2226 lbs/acre,83 days,61.2 g/100 seeds
Canada,OAC Jasper,University Of Guelph,Dynasty/Lighthouse,Yield ~1860 lbs/acre,Common Mosaic Virus R1,,,,Dark Red Kidney,,2.7,1860 lbs/acre,90 days,64.0 g/100 seeds
Canada,OAC Firestripe,University Of Guelph-Treasure Valley Seeds Co.,H5357C-42101//Red Rider/SAB685,Yield ~2212 lbs/acre,Common Mosaic Virus R1,,,,Cranberry,,2.2,2212 lbs/acre,89 days,68.5 g/100 seeds
Canada,Gallantry,University of Guelph-Hensall Co-op,Dynasty/H4713-34772,Yield ~2303 lbs/acre,Anthracnose R73,,,,Dark Red Kidney,,2.5,2303 lbs/acre,88 days,58.0 g/100 seeds
Canada,OAC Iceberg,University of Guelph,Inferno/Yeti,Yield ~2160 lbs/acre,Anthracnose R73,,,,White Kidney,,2.9,2160 lbs/acre,94 days,56.0 g/100 seeds
Canada,OAC Fusion,University Of Guelph- Plovgh,RWBX5172/ACUG 10-5,Yield ~2962 lbs/acre,Anthracnose R73,Common Blight,,,White Navy,,1.9,2962 lbs/acre,90 days,20.0 g/100 seeds
Canada,OAC Firebrand,University of Guelph/AAFC,ACUG11-D1/Inferno,Yield ~2518 lbs/acre,Anthracnose R73,,,,Light Red Kidney,,2.7,2518 lbs/acre,91 days,55.3 g/100 seeds
Canada,OAC Equinox,University of Guelph- Meridian Seeds,Mist/Apex,Yield ~3711 lbs/acre,,Anthracnose R73,,,White Navy,,1.8,3711 lbs/acre,97 days,25.8 g/100 seeds
Canada,OAC Charm,University of Guelph- Treasure Valley Seed Co.,ACUG11-B1/Mist,Yield ~3271 lbs/acre,Anthracnose R73,,,,White Navy,,2.0,3271 lbs/acre,93 days,23.0 g/100 seeds
Canada,OAC Award,University of Guelph,Mist/Apex,Yield ~3703 lbs/acre,,Anthracnose R73,,,White Navy,,2.4,3703 lbs/acre,97 days,23.1 g/100 seeds
Canada,OAC Seal,University of Guelph- Jefferies Seeds,Fathom/GF6-11-8,Yield ~2936 lbs/acre,Anthracnose race 73; moderately resistant to CBB,,,,White Navy,,2.7,2936 lbs/acre,98 days,23.7 g/100 seeds
Canada,OAC Souper,University of Guelph,Cirrus/Mist//Fleetwood/T9905,Yield ~3355 lbs/acre,Common Mosaic Virus R1,Anthracnose R73,,,White Navy,,2.8,3355 lbs/acre,102 days,22.1 g/100 seeds
Canada,Stavros,University of Guelph - Columbia Seed Co.,CBX9151ND/ACUG10-C1,Yield ~2349 lbs/acre,Common Mosaic Virus R1,,,,Cranberry,,1.8,2349 lbs/acre,85 days,51.7 g/100 seeds
Canada,OAC Sunrise,University of Guelph- Crooked Creek Acres,CBX9151ND/PI414807,Yield ~2619 lbs/acre,Anthracnose R73,Common Blight,,,Kintoki,,3.4,2619 lbs/acre,95 days,60.6 g/100 seeds
Canada,OAC Blaze,University of Guelph,16-NDP1/Stampede,Yield ~2384 lbs/acre,,Anthracnose R73,,,Non-darkening Pinto,,2.5,2384 lbs/acre,87 days,39.4 g/100 seeds
Canada,XPT One,University of Guelph- Columbia Seed Co.,16-NDP1/Stampede,Yield ~2495 lbs/acre,,Anthracnose R73,,under Application No. 22-10861,Non-darkening Pinto,,2.1,2495 lbs/acre,88 days,40.2 g/100 seeds
Canada,OAC Paint,University of Guelph,BLKX9205E/Stampede,Yield ~2745 lbs/acre,,Anthracnose R73,,,Non-darkening Pinto,,3.1,2745 lbs/acre,97 days,37.0 g/100 seeds
Canada,Umbra,University of Guelph,Zorro/W11WE194,Yield ~3710 lbs/acre,Common Mosaic Virus R1,Anthracnose R73,,,Black,,1.9,3710 lbs/acre,98 days,23.5 g/100 seeds
Canada,Steam,University of Guelph - Hensall Co-op,ACUG13-2/ACUG13-3,Yield ~3533 lbs/acre,Common Mosaic Virus R1,Anthracnose R73,,,White Navy,,1.9,3533 lbs/acre,97 days,22.2 g/100 seeds
Canada,OAC Volterra,University of Guelph,15-C2/15-C1,Yield ~2754 lbs/acre,Common Mosaic Virus R1,,,,Cranberry,,2,2754 lbs/acre,86 days,66.0 g/100 seeds
Canada,OAC Resilient,University of Guelph,ACUG12-8/SXB415,Yield ~3469 lbs/acre,Common Mosaic Virus R1,Common Blight,,,White Navy,,2,3469 lbs/acre,97 days,18.9 g/100 seeds
Canada,OAC Bechamel,University of Guelph,Not disclosed,Yield ~3430 lbs/acre,Common Mosaic Virus R1,,,,White Navy,,2.5,3430 lbs/acre,97 days,20.9 g/100 seeds
Canada,OAC Agate,University of Guelph,12-C1//W12HR582,Yield ~2757 lbs/acre,Common Mosaic Virus R1,,,,Cranberry,,2.3,2757 lbs/acre,85 days,61.0 g/100 seeds
Canada,Blast,University of Guelph- Hensall Co-op,W11WE194/Indi,Yield ~3446 lbs/acre,Common Mosaic Virus R1,Common Blight,,,White Navy,,2,3446 lbs/acre,95 days,21.7 g/100 seeds
Canada,Bannock,University of Guelph- Hensall Co-op,Zorro//F1 86 Zorro/Fathom,Yield ~3785 lbs/acre,Common Mosaic Virus R1,Anthracnose R73,,,Black,,1.6,3785 lbs/acre,98 days,23.5 g/100 seeds
Canada,OAC Tong,University of Guelph,12-D1/W12HR697,Yield ~1840 lbs/acre,Common Mosaic Virus R1,Common Mosaic Virus R15,,,Dark Red Kidney,,2.9,1840 lbs/acre,89 days,72.9 g/100 seeds
Canada,Eternal,University of Guelph- Hensall Co-op,PT9-6/W12HR1410,Yield ~1984 lbs/acre,,Anthracnose R73,,,Non-darkening Pinto,,3.3,1984 lbs/acre,89 days,36.4 g/100 seeds
Canada,OAC Endeavour,University of Guelph,W12HR693/Dynasty,Yield ~1911 lbs/acre,Common Mosaic Virus R1,Common Blight,,,Dark Red Kidney,,2.9,1911 lbs/acre,92 days,73.6 g/100 seeds
Canada,OAC Märzen,University of Guelph,Inferno/W12HR705,Yield ~1901 lbs/acre,Common Mosaic Virus R1,Common Mosaic Virus R15,,,Light Red Kidney,,4.4,1901 lbs/acre,92 days,68.4 g/100 seeds
Canada,OAC Toast,University of Guelph,La Paz/ACHR49580,Yield ~3743 lbs/acre,Common Mosaic Virus R1,Anthracnose R7,,,Pinto,,3.1,3743 lbs/acre,89 days,42.0 g/100 seeds
Canada,OAC Clever,University of Guelph- Columbia Seeds Co.,W12W2503/W12W2491,Yield ~3254 lbs/acre,Common Mosaic Virus R1,,,,White Navy,,2.1,3254 lbs/acre,91 days,19.8 g/100 seeds
Canada,OAC Storm,University of Guelph,W11WE229/W12W1965,Yield ~3006 lbs/acre,Common Mosaic Virus R1,,,,White Navy,,1.8,3006 lbs/acre,89 days,19.5 g/100 seeds
Canada,OAC Spades,University of Guelph,W12B1684/W12W1965,Yield ~3376 lbs/acre,Common Mosaic Virus R1,,,,Black,,1.5,3376 lbs/acre,92 days,24.3 g/100 seeds
Canada,OAC Rev,University of Guelph,Dynasty/K12HR877,Yield ~2975 lbs/acre,Common Mosaic Virus R1,Common Blight,,,Dark Red Kidney,,3.5,2975 lbs/acre,98 days,69.8 g/100 seeds
Canada,Sundust,University of Guelph,Not disclosed,Yield ~1955 lbs/acre,,Anthracnose R73,,,Otebo,,3.8,1955 lbs/acre,95 days,27.6 g/100 seeds
Canada,Stardust,University of Guelph,13-01/Samurai,Yield ~2617 lbs/acre,,Anthracnose R73,,,Otebo,,3.2,2617 lbs/acre,101 days,29.0 g/100 seeds
Canada,OAC Glacier,University of Guelph,Fuji/Samurai,Yield ~2336 lbs/acre,,Anthracnose R73,,,Otebo,,2.6,2336 lbs/acre,101 days,27.0 g/100 seeds
Canada,Yolk,University of Guelph- Hensall Co-op,13-C1/28-1,Yield ~3276 lbs/acre,Anthracnose R73,,,,Yellow,,3.7,3276 lbs/acre,107 days,61.5 g/100 seeds
Canada,Yak,University of Guelph- Hensall Co-op,C12HR107/28-1,Yield ~2792 lbs/acre,,Anthracnose R73,,,Yellow,,3.1,2792 lbs/acre,102 days,57.6 g/100 seeds
Canada,Wake,University of Guelph- Hensall Co-op,ACUG 16-3/ACUG 15-3,Yield ~3089 lbs/acre,Common Mosaic Virus R1,Anthracnose R73,,,White Navy,,2.8,3089 lbs/acre,88 days,22.3 g/100 seeds
Canada,OAC Copperhead,University of Guelph,51830/Inferno,Yield ~2360 lbs/acre,Common Mosaic Virus R1,,,,Light Red Kidney,,4.1,2360 lbs/acre,89 days,49.4 g/100 seeds
Canada,Marker,University of Guelph,Indi / ACUG12-B1,Yield ~ 3135 lbs/acre,,,,,White Navy,,2.2,3135 lbs/acre,99 days,21.7 g/100 seeds
Canada,Epic,Trinity Genetics (distributor),02-2668/Red Hawk,Maturity ~94 days,anthracnose Race 6,Anthracnose (Race 73) PVP/Patent #: PVP#: 201600108,,PVP#: 201600108,Dark Red Kidney,,3.2,,94 days,63 g per 100 seeds
Canada,Majesty,Agriculture and Agri-Food Canada (AAFC),,Yield ~ 2231 lbs/acre Maturity ~97 days,BCMV(race 1 and 15),Anthracnose (race 23 and 73) PVP/Patent #: PBR 04-4182,,PBR 04-4182,Dark Red Kidney,,1.8,2231 lbs/acre Maturity ~97 days,97 days,73 g per 100 seeds
Canada,AAC Shock,Agriculture and Agri-Food Canada (AAFC)-Hensall Co-op,HR164/W4170a-96060,Yield ~3144 lbs/acre,Common Bacterial Blight and Bean Common Mosaic Virus races 1 & 15,,,,White Navy,,1.8,3144 lbs/acre,104 days,23.4g per 100 seeds
Canada,AAC Argosy,Agriculture and Agri-Food Canada (AAFC),Rex/SWX2045,Yield ~3222 lbs/acre,Common Bacterial Blight and Bean Common Mosaic Virus (races 1 & 15),Anthracnose,,,White Navy,,2.3,3222 lbs/acre,103 days,23.9 g per 100 seeds
Canada,Nautica,Hensall Co-op,OAC Laser/HR20-827/Ex Rico 23/Midnight,Yield ~3141.4 lbs/acre,white mold,anthracnose,,,White Navy,,2,3141.4 lbs/acre,95 days,19.1 g per 100 seeds
Canada,Lighthouse,University of Guelph-R.T. Bolton,spscbbr136/PI 207262//ICB-10/Vax4///Speedvale/Avanti//99-1/Rex,Yield ~3785 lbs/acre,Common Bacterial Blight,Anthracnose race 73,,,White Navy,,1.9,3785 lbs/acre,102 days,22.6 g per 100 seeds
Canada,AAC Scotty,Agriculture and Agri-Food Canada (AAFC)-Canterra Seeds (Canada) and Meridian Seeds (USA),Hooter/SVM Taylor Hort//Etna,Yield ~1,anthracnose races 73 and 105,,,CFIA Reg. No. 8374; PVP granted in U.S.,Cranberry,,N/A Resistance: anthracnose races 73 and 105,1,97 days,42.8 g per 100 seeds
Canada,AAC Cranford,Agriculture and Agri-Food Canada (AAFC),Cran 09/W06-043,Yield ~ 2917.426 lbs/acre,,Moderately susceptible to white mold,,,Cranberry,,1.7,2917.426 lbs/acre,100 days,62.3 g per 100 seeds
Canada,AAC Portage,AAFC (Agriculture and Agri-Food Canada)- Canterra Seeds,Hooter/SVM Taylor Hort//Etna,Yield ~ 2,anthracnose (races 73 and 105),,,,White Navy,,N/A Resistance: anthracnose (races 73 and 105),2,97 days,42.8 g per 100 seeds
Canada,S09-27C,Agriculture and Agri-Food Canada (AAFC),,Yield ~ lbs/acre,anthracnose (race 73) and common bacterial blight,Anthracnose race 105,,,Navy bean,,,lbs/acre,97 days,18.5 g per 100 seeds
Canada,Carman Black,Agriculture and Agri-Food Canada (AAFC)- Canterra Seeds,BLR903/CDC Expresso/UI 906,Yield ~ 2270 lbs/acre,,,,,Black,,,2270 lbs/acre,108 days,22.2 g per 100 seeds
Canada,AAC Black Diamond 2,Agriculture and Agri-Food Canada (AAFC),AC Black Diamond × 5 backcrosses to OAC Rex,Yield ~2670 lbs/acre,Common bacterial blight,White mold and anthracnose races 73 and 105,,,Black,,,2670 lbs/acre,105 days,24.6g per 100 seeds
Canada,CR10875-6-2,Agriculture and Agri-Food Canada (AAFC),,Yield ~ lbs/acre,Anthracnose race 73,White Mold and Common Bacterial Blight,,,Pinto,,,lbs/acre,98 days,45.5 g per 100 seeds
Canada,AAC Burdett,Agriculture and Agri-Food Canada (AAFC),L04B818/Agrinto,Yield ~ 3274.297 lbs/acre,White mold,,,,Pinto,,,3274.297 lbs/acre,97 days,34.4 g per 100 seeds
Canada,AAC Expedition,Agriculture and Agri-Food Canada (AAFC),W06-121/Island,Yield ~ 3693 lbs/acre,Anthracnose (race 73 and 105) and white mold,Common bacterial blight,,,Pinto,,,3693 lbs/acre,97 days,40.7 g per 100 seeds
Canada,AAC Tundra,Agriculture and Agri-Food Canada (AAFC),L99E247/354B-5,Yield ~ 3283 lbs/acre,White mold (moderately),Anthracnose (race 73 and 105),,,Slow-darkening pinto,,,3283 lbs/acre,105 days,32.5 g per 100 seeds
Canada,AAC Whitestar,Agriculture and Agri-Food Canada (AAFC),L04E494/Resolute,Yield ~ 3434 lbs/acre,White mold,Anthracnose (race 73 and 105),,,Navy bean,,,3434 lbs/acre,98 days,36.9 g per 100 seeds
Canada,Resolute,Agriculture and Agri-Food Canada (AAFC),83B352/5/GN Star*2/ 3/Redkloud/Kentwood/ 2/Swan Valley/4/GN Star*2 /3/Redkloud/Kentwood/ 2/Swan Valley/ 6/Sask 92070.,Yield ~1837 lbs/acre,Bacterial wilt,Anthracnose (Delta,,,Great northern,,,1837 lbs/acre,98.5 days,32.9 g per 100 seeds
Canada,AAC Y012,Agriculture and Agri-Food Canada (AAFC),PI 406158/Peruano,Yield ~ 2453 lbs/acre,,Anthracnose (race 73 and 105),,,Yellow,,,2453 lbs/acre,102 days,41.6 g per 100 seeds
Canada,AAC Y015,Agriculture and Agri-Food Canada (AAFC),PI 406158/Peruano,Yield ~ 2328 lbs/acre,,Anthracnose (race 73 and 105),,,Yellow,,,2328 lbs/acre,102 days,42.6 g per 100 seeds
Canada,AAC Y073,Agriculture and Agri-Food Canada (AAFC),W08-109/CDC 2253-4,Yield ~ 2774 lbs/acre,White mold,Anthracnose (race 73 and 105),,,Yellow,,,2774 lbs/acre,96 days,43.2 g per 100 seeds
Canada,AAC PT600,Agriculture and Agri-Food Canada (AAFC),AAC Burdett/L11PS252,Yield ~ 3357 lbs/acre,Anthracnose,Common bacterial blight,,,Pinto,,,3357 lbs/acre,96 days,39 g per 100 seeds
Canada,Harohawk,Agriculture and Agri-Food Canada (AAFC),Raven and H2895-B67278,Yield ~2298 lbs/acre,Bean common mosaic virus,Anthracnose race 17,,,Black,,,2298 lbs/acre,96 days,21.1 g per 100 seeds
Canada,Harblack,Agriculture and Agri-Food Canada (AAFC),Snowflake and Midnight,Yield ~2455 lbs/acre,anthracnose race 73,,,,Black,,,2455 lbs/acre,89 days,20.2 g per 100 seeds
Canada,Black Violet,Agriculture and Agri-Food Canada (AAFC),,Yield ~ 2890 lbs/acre,White mould,anthracnose races 73 and 17,,,Black,,,2890 lbs/acre,106 days,19.7g per 100 seeds
Canada,Red Rider,Agriculture and Agri-Food Canada (AAFC),SVM Taylor Horticulture and Dolly cranberry,Yield ~ 2572 lbs/acre,Bean common mosaic virus (race 15),Anthracnose,,,Cranberry,,,2572 lbs/acre,96 days,63.7g g per 100 seeds
Canada,CDC Blackstrap,University of Saskatchewan,Not disclosed,Yield ~1700 lbs/acre,Common bacterial blight,Anthracnose (races 73 and 105),,PBR ’91,Black,,,1700 lbs/acre,,19.5 g per 100 seeds
Canada,Wolfe,Gowan Seeds,Not disclosed,,,,,PBR Certificate #0550 (Application #96‑975),,,,,,
Canada,Cirrus,W.G. Thompson & Sons Ltd,Not disclosed,,,,,Application #02-3221,,,,,,
Canada,CDC WM-3,University of Saskatchewan,derived from bulked F₂ selection,Yield ~ 2,,,,PBR Certificate #6424 (Application #18-9454),Pinto (slow-darkening),,,2,78 days,36 g per 100 seeds
