Country,Name,Breeder and Vendor,Parentage,Characteristics,Resistance,Susceptibility,Tolerant,PVP/Patent #,Market Class,Source,Direct harvest suitability,Yield,Maturity,Seed weight
USA,La Paz (99236),"ProVita, Inc",PNE 6-94-75/Kodiak,"Medium maturity (90 days), 3b vine-indeterminate, long guides with ability to climb, adapted to direct harvest, 44 days to 50% bloom",Bean common mosaic virus (NL8),,,200500219,Pinto,,,,,
USA,Lariat (ND 020069),NDSU Research Foundation,T1255/'Aztec'//'Winchester'/3/P96753/4/'Maverick',"late maturity, days to maturity-100, 2b growth habit-erect, indeterminate, guides medium to long with no ability to climb, days to flowering- 45 (50% bloom)","rust (40-42, 52-57, 59-61), anthracnose (Race 7), air pollution",anthracnose (Race 73),,2000800305,Pinto,"Journal of Plant Registrations 2010, 4(1): 5-11",,,,
USA,Long's Peak (C055646),"Colorado State University, Parentage: CO92905/CO75944",CO92905/CO75944,"Medium maturity (97 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb/adapted to direct harvest, 49 days to 50% bloom","rust (Ur 6), Bean common mosaic virus (NL 3)",,,201200395,Pinto,"Journal of Plant Registrations 2015, 9(3): 279-282",,,,
USA,Loreto (00044),"ProVita, Inc",Mackinac/Jaguar,"Medium maturity (96 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 52 days to 50% bloom","rust (UR3), Bean common mosaic virus (NL3 and NL8), anthracnose (Races 73 and 65)",,,200700297,Black,,,,,
USA,Luckystrike (X1380012B),Archer-Daniels-Midland Co,CAN47/G5707,"Medium maturity (98 days), 2a erect growth habit- indeterminate, guides (runners) short or not developed, adapted to direct harvest, 48 days to 50% bloom",Bean common mosaic virus (All),Bean common mosaic necrosis virus (All),common bacterial blight (Michigan),201000191,Yellow,,,,,
USA,Mariah (EX 08540800),"Seminis Vegetable Seeds, Inc",H9657-42-2/Buster,"Medium maturity (93 days), 2a erect growth habit-indeterminate, guides (runners) short or not developed, adapted to direct harvest, 50 days to 50% bloom","BCMV (I), rust (Race 53)",,,200700157,Pinto,,,,,
USA,Medicine Hat (EX 08550813),"Seminis Vegetable Seeds, Inc",98yt102/Buster,"Early maturity (89 days), 2a erect growth habit-indeterminate, guides (runners) short or not developed/adapted to direct harvest, 35 days to 50% bloom",,"Bean common mosaic virus (NY15), rust (Race 53)",,200700160,Pinto,,,,,
USA,Merlin (03019),"ProVita, Cooperative Elevator Co",Mackinac/98-1184-1,"Medium maturity (94 days), 2b erect growth habit- indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 49% days to 50% bloom","Bean common mosaic virus (I), anthracnose (Race 7), rust (Nebraska, Colorado,",,,201100392,Navy,,,,,
USA,Merlot (R98026),Michigan State University & USDA-ARS,R94037/R94161,"Medium maturity (95 days), 2a erect growth habit-indeterminate, guides (runners) short or not developed, adapted to direct harvest, 45 days to 50% bloom","Rust (Races 41, 53, 108)/Bean common mosaic virus (NL-1, NL-2, NL-7)",common bacterial blight (Michigan Isolates),,200500181,Small Red,"Crop Science 2004, 44(1): 351-352",,,,
USA,Messina (ROG912),"Novartis Seeds, Inc",Cran 028(MSU)/MSU 81001,"Early maturity (83 days)/Ib bush-determinate, weak steam and branches/adapted to direct harvest, 40 days to 50% bloom","Bean common mosaic virus (NL3, NL8, NY15, BV1, NL5), anthracnose (Alpha, Delta)","common bacterial blight, curly top virus, bacterial brown spot",,200000184,Cranberry,,,,,
USA,Monterrey (06185),ADM Edible Bean Specialties Inc,La Paz/BelDakMi-RMR-14,"Medium maturity (93 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 43 days to 50% bloom",,,,201300354,Pinto,,,,,
